variant,N,latency_ms_mean,latency_ms_std,bandwidth_gb_s,speedup_vs_numpy,latency_ms_p50,latency_ms_p95
numpy,1048576,0.2967,0.0,14.14,1.0,,
torch_cpu,1048576,0.03,0.0,139.9,9.9,,
reduce_naive,1048576,0.0774,0.005,54.22,3.84,0.0799,0.0808
reduce_sequential,1048576,0.0732,0.006,57.28,4.05,0.0697,0.0825
reduce_shuffle,1048576,0.0729,0.0019,57.52,4.07,0.0738,0.0747
