variant,N,latency_ms_mean,latency_ms_std,latency_ms_p50,latency_ms_p95,bandwidth_gb_s,speedup_vs_numpy
numpy,1048576,0.9977,0.0,0.9977,0.9977,12.61,1.0
torch_cpu,1048576,0.1581,0.0,0.1581,0.1581,79.57,6.31
cuda_naive,1048576,0.0323,0.0241,0.0202,0.0694,389.79,30.91
cuda_opt,1048576,0.0243,0.0092,0.0233,0.037,517.66,41.05
torch_add_gpu,1048576,0.0318,0.0155,0.044,0.0451,395.67,31.37
