epoch,mode,world_size,val_accuracy,peak_mem_mb,train_loss,epoch_time_sec,throughput_samples_sec
1,base,1,0.8704128440366973,4012.009984,0.5974726751446724,9.030776599887758,110.73244797268363
2,base,1,0.8268348623853211,4012.009984,0.2998446060810238,8.591482599964365,116.39434618701871
